
Image,Layer ID,Filter ID,Peak 1 Freq,Peak 2 Freq,Peak 3 Freq,GIF Frequency 1,GIF Frequency 2,Flag
test/photo-1543260775-945c562403b3.jpg,4,3,11.80,0.20,0.20,5,6,Different
test/photo-1543260775-945c562403b3.jpg,5,19,11.80,0.20,0.20,5,6,Different
test/photo-1543260775-945c562403b3.jpg,5,31,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,5,53,11.80,0.20,0.20,5,6,Different
test/photo-1543260775-945c562403b3.jpg,5,126,11.80,1.00,1.00,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,28,11.80,0.20,0.20,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,45,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,61,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,95,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,154,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,175,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,185,0.20,0.20,0.80,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,211,11.80,0.20,0.20,5,6,Different
test/photo-1543260775-945c562403b3.jpg,6,229,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,106,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,117,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,181,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,227,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,277,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,348,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,403,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,446,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,455,1.00,1.00,11.80,5,6,Different
test/photo-1543260775-945c562403b3.jpg,7,500,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,106,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,117,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,181,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,227,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,277,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,348,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,403,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,446,0,0,0,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,455,1.00,1.00,11.80,5,6,Different
test/photo-1543260775-945c562403b3.jpg,8,500,0,0,0,5,6,Different
