Image,Count_Divided_By_120
imgs/n01440764_10910.JPEG,0.49166666666666664
imgs/n01440764_11170.JPEG,0.35833333333333334
imgs/n01440764_11652.JPEG,0.30833333333333335
imgs/n01440764_12037.JPEG,0.19166666666666668
imgs/n01440764_7173.JPEG,0.6166666666666667
imgs/n01443537_10092.JPEG,0.525
imgs/n01443537_11283.JPEG,0.4083333333333333
imgs/n01443537_16194.JPEG,0.3416666666666667
imgs/n01443537_1895.JPEG,0.9666666666666667
imgs/n01443537_21136.JPEG,0.3
imgs/n01443537_21855.JPEG,0.5833333333333334
imgs/n01443537_339.JPEG,0.575
imgs/n01484850_17229.JPEG,0.25
imgs/n01484850_18500.JPEG,0.925
imgs/n01484850_2801.JPEG,0.375
imgs/n01484850_29646.JPEG,0.5666666666666667
imgs/n01484850_8845.JPEG,0.36666666666666664
imgs/n01491361_10342.JPEG,0.375
imgs/n01491361_11396.JPEG,0.24166666666666667
imgs/n01491361_5045.JPEG,0.7666666666666667
imgs/n01491361_6392.JPEG,0.43333333333333335
imgs/n01491361_905.JPEG,0.175
imgs/n01491361_9826.JPEG,0.4083333333333333
imgs/n01494475_17410.JPEG,0.38333333333333336
imgs/n01494475_2306.JPEG,0.2833333333333333
imgs/n01494475_261.JPEG,0.39166666666666666
imgs/n01494475_3208.JPEG,0.4166666666666667
imgs/n01494475_4835.JPEG,0.38333333333333336
imgs/n01494475_7789.JPEG,0.49166666666666664
imgs/n01494475_8637.JPEG,0.6
imgs/n01494475_9291.JPEG,0.35
imgs/n01496331_18738.JPEG,0.4166666666666667
imgs/n01496331_1913.JPEG,0.3416666666666667
imgs/n01496331_26302.JPEG,1.2833333333333334
imgs/n01496331_26599.JPEG,0.25
imgs/n01496331_30855.JPEG,0.5416666666666666
imgs/n01496331_32072.JPEG,0.3333333333333333
imgs/n01496331_35603.JPEG,0.23333333333333334
imgs/n01496331_6791.JPEG,0.475
imgs/n01498041_10701.JPEG,0.4
imgs/n01498041_12681.JPEG,0.25
